"Bezeichnung";"Long";"Lat"
"AVRY-Centre";7.0962976809999985;46.781159
"Bern Schauplatz";7.40645594615935;46.9476134401776
"Bern-Outletstore";7.41822;46.94363
"Contone";8.92607480460762;46.1502750878601
"Dübendorf";8.617305862668438;47.3905287687684
"Emmen";8.164569999999998;47.041863
"Etoy";6.42174355257144;46.4842368500261
"Genf";6.078872826258589;46.2322371435594
"Luzern";8.32521536164421;47.0471358210592
"Lyssach";7.569064;47.081428
"Marin";7.01210102531288;47.0092695881802
"Mels";9.33780844287524;47.000761622834
"Pratteln";7.69278877681858;47.5185057525117
"Schaffhausen";8.64122195074536;47.71569684200689
"Spreitenbach";8.36742587100229;47.4179020375793
"St. Gallen";9.37594858130343;47.4221404863031
"Suhr";8.08387870330993;47.3748408157429
"Villeneuve";6.968948;46.403846
"Winterthur";8.73430829109435;47.4967528982669
"Zürich-Letzipark";8.5308067258683;47.3828239646467
"Zürich-Walche";8.5308067258683;47.3828239646467
